location,total_cases,total_deaths,population,cases_per_million,deaths_per_million,case_fatality_rate,peak_date,peak_7day_cases,peak_cases_per_million,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred
Burundi,54366.0,15.0,12889583.0,4217.82457974009,1.1637304325516193,0.027590773645293016,2021-12-30,791.4285714285714,61.400634250818776,,,
Cambodia,138941.0,3056.0,16767851.0,8286.154260316365,182.2535278969261,2.1994947495699613,2021-07-06,981.0,58.50481376534178,27.76,20.14,47.9
Cameroon,125090.0,1974.0,27914542.0,4481.1768718970925,70.7158297635691,1.578063794068271,2021-03-18,1240.142857142857,44.42640889980775,,,
Canada,4716205.0,53297.0,38454328.0,122644.32237640454,1385.981832786156,1.1300823437488405,2022-01-08,42191.28571428572,1097.1791189352136,82.91,76.81,185.09
Cape Verde,64401.0,415.0,593162.0,108572.3630306729,699.6402331909327,0.6443999316780795,2022-01-10,1062.7142857142858,1791.6088449939236,,,
Cayman Islands,31472.0,37.0,68722.0,457961.0605046419,538.4010942638456,0.1175648195221149,2022-02-18,399.14285714285717,5808.079758197624,86.71,84.21,202.18
Central African Republic,15367.0,113.0,5579148.0,2754.3632110135813,20.253988601843865,0.7353419665517017,2021-04-20,199.14285714285714,35.69413414787655,,,
Chad,7698.0,194.0,17723312.0,434.34319725342533,10.946035368558652,2.5201351000259806,2021-12-01,85.14285714285714,4.804003740545624,,,
Chile,5288843.0,64497.0,19603736.0,269787.50376968965,3290.036144130894,1.219491673320611,2022-02-14,35656.28571428572,1818.8515553507616,90.34,87.25,242.58
China,99315684.0,121742.0,1425887360.0,69651.84402784803,85.37981569596073,0.12258084030312875,2022-12-26,5882128.571428572,4125.240700239163,,,243.58
Colombia,6382432.0,142942.0,51874028.0,123037.13912480442,2755.560065626675,2.239616497285047,2021-06-30,31255.571428571428,602.5283293707485,22.21,13.29,35.24
Comoros,9109.0,161.0,836783.0,10885.737401452945,192.40352636227075,1.7674827094082777,2022-01-05,177.14285714285714,211.69509555387376,,,
Congo,25196.0,389.0,5970430.0,4220.131548313941,65.1544361126418,1.5438958564851564,2022-01-04,194.14285714285714,32.51739944071987,,,
Cook Islands,7168.0,2.0,17032.0,420854.8614372945,117.42602160638798,0.027901785714285712,2022-04-12,151.14285714285714,8874.052204254176,,,
Costa Rica,1238884.0,9428.0,5180836.0,239128.2024754306,1819.7835252843363,0.7610074873838067,2022-02-05,5795.857142857143,1118.7107916284444,,,
Cote d'Ivoire,88338.0,835.0,28160548.0,3136.941795308813,29.65141161315469,0.9452330820258552,2022-01-05,1245.7142857142858,44.236152141438644,,,25.89
Croatia,1275762.0,18374.0,4030361.0,316537.8982180504,4558.8968333109615,1.4402372856379166,2022-01-27,8909.57142857143,2210.6137461560957,56.88,54.65,126.06
Cuba,1115103.0,8530.0,11212198.0,99454.45130383891,760.7785734786346,0.7649517578196813,2021-08-25,9416.714285714286,839.8633600400462,47.16,28.29,115.58
Curacao,45883.0,305.0,191173.0,240007.7416790028,1595.413578277267,0.6647342152867075,2022-01-14,873.7142857142857,4570.280770371787,55.18,50.82,122.66
