date,new_cases,new_deaths,new_cases_7day_avg,new_deaths_7day_avg
2021-02-24,297546.0,7573.0,357416.0,9435.142857142857
2021-02-25,362244.0,8310.0,363549.0,9451.142857142857
2021-02-26,370333.0,8729.0,368912.71428571426,9392.42857142857
2021-02-27,367351.0,9434.0,373975.0,9412.0
2021-02-28,695830.0,15051.0,380210.4285714286,9143.857142857143
2021-03-01,313765.0,7512.0,381934.28571428574,9108.285714285714
2021-03-02,269866.0,6580.0,382419.28571428574,9027.0
2021-03-03,311717.0,7182.0,384443.71428571426,8971.142857142857
2021-03-04,357990.0,7785.0,383836.0,8896.142857142857
2021-03-05,378003.0,8791.0,384931.71428571426,8905.0
2021-03-06,375549.0,7910.0,386102.85714285716,8687.285714285714
2021-03-07,730663.0,14723.0,391079.0,8640.42857142857
2021-03-08,320173.0,7045.0,391994.4285714286,8573.714285714286
2021-03-09,322325.0,6692.0,399488.5714285714,8589.714285714286
2021-03-10,312062.0,6778.0,399537.85714285716,8532.0
2021-03-11,385975.0,8018.0,403535.71428571426,8565.285714285714
2021-03-12,405343.0,9008.0,407441.4285714286,8596.285714285714
2021-03-13,405153.0,8448.0,411670.5714285714,8673.142857142857
2021-03-14,812176.0,14698.0,423315.28571428574,8669.57142857143
2021-03-15,349966.0,7303.0,427571.4285714286,8706.42857142857
2021-03-16,311734.0,6620.0,426058.4285714286,8696.142857142857
2021-03-17,350300.0,6980.0,431521.0,8725.0
2021-03-18,442621.0,8859.0,439613.28571428574,8845.142857142857
2021-03-19,460049.0,8987.0,447428.4285714286,8842.142857142857
2021-03-20,461282.0,8848.0,455446.85714285716,8899.285714285714
2021-03-21,952364.0,15586.0,475473.71428571426,9026.142857142857
2021-03-22,409244.0,9840.0,483942.0,9388.57142857143
2021-03-23,361506.0,6921.0,491052.28571428574,9431.57142857143
2021-03-24,412794.0,7893.0,499980.0,9562.0
2021-03-25,495336.0,9521.0,507510.71428571426,9656.57142857143
2021-03-26,522316.0,8649.0,516406.0,9608.285714285714
2021-03-27,519124.0,9144.0,524669.1428571428,9650.57142857143
2021-03-28,1112190.0,17118.0,547501.4285714285,9869.42857142857
2021-03-29,466102.0,8966.0,555624.0,9744.57142857143
2021-03-30,405391.0,8098.0,561893.2857142857,9912.714285714286
