location,peak_date,peak_7day_cases,peak_cases_per_million
Puerto Rico,2022-01-04,10583.42857142857,3254.025
Qatar,2022-01-18,4101.571428571428,1521.845
Reunion,2022-01-25,11187.857142857143,11485.775
Romania,2022-02-05,30033.428571428572,1527.698
Russia,2022-02-15,190418.57142857142,1315.833
Rwanda,2021-07-25,1437.142857142857,104.317
Saint Barthelemy,2022-01-15,71.71428571428571,6523.039
Saint Helena,2022-09-26,201.14285714285714,37241.781
Saint Kitts and Nevis,2022-01-09,144.71428571428572,3035.051
Saint Lucia,2022-01-17,411.0,2284.958
Saint Martin (French part),2022-01-15,327.85714285714283,10304.788
Saint Pierre and Miquelon,2022-03-22,85.0,14443.5
Saint Vincent and the Grenadines,2022-01-12,112.57142857142857,1082.844
Samoa,2022-04-24,441.7142857142857,1986.215
San Marino,2022-01-14,179.71428571428572,5334.351
Sao Tome and Principe,2022-01-14,179.0,787.183
Saudi Arabia,2022-01-21,5611.857142857143,154.135
Scotland,2020-03-07,0.0,
Senegal,2021-07-24,979.0,56.536
Serbia,2022-02-01,16836.0,2450.103
Seychelles,2022-01-15,589.5714285714286,5503.07
Sierra Leone,2021-06-26,88.85714285714286,10.325
Singapore,2022-02-25,18325.14285714286,3250.855
Sint Maarten (Dutch part),2022-01-15,305.2857142857143,6908.167
Slovakia,2022-02-12,17917.0,3174.828
Slovenia,2022-01-30,14118.0,6659.927
Solomon Islands,2022-05-31,437.57142857142856,604.153
Somalia,2022-01-31,249.28571428571428,14.166
South Africa,2021-12-18,23437.14285714286,391.311
South Korea,2022-03-17,404999.5714285714,7816.139
South Sudan,2021-12-25,207.42857142857142,19.007
Spain,2022-01-16,136643.7142857143,2873.163
Sri Lanka,2021-08-30,5960.857142857143,273.031
Sudan,2022-01-19,577.5714285714286,12.322
Suriname,2022-01-21,992.1428571428571,1605.29
Sweden,2022-01-28,40672.57142857143,3855.458
Switzerland,2022-01-28,35879.857142857145,4105.026
Syria,2021-10-21,405.14285714285717,18.311
Taiwan,2020-01-16,0.0,
Tajikistan,2020-05-25,229.57142857142858,23.066
Tanzania,2021-08-12,3057.4285714285716,46.68
Thailand,2022-04-04,26109.571428571428,364.165
Timor,2021-08-27,322.85714285714283,240.705
Togo,2022-01-04,455.2857142857143,51.452
Tokelau,2023-07-15,5.571428571428571,2943.174
Tonga,2022-03-24,334.57142857142856,3130.727
Trinidad and Tobago,2022-01-23,884.1428571428571,577.477
Tunisia,2022-01-23,9430.714285714286,763.243
Turkey,2022-02-09,103375.42857142857,1211.318
Turkmenistan,2020-01-03,0.0,
Turks and Caicos Islands,2022-01-18,157.0,3433.495
Tuvalu,2022-11-15,299.14285714285717,26391.077
Uganda,2021-08-20,3117.714285714286,65.984
Ukraine,2022-02-06,34706.0,874.168
United Arab Emirates,2021-01-31,3755.0,397.727
United Kingdom,2022-01-06,214690.2857142857,3180.176
United States,2022-01-17,809735.2857142857,2393.614
United States Virgin Islands,2022-01-10,347.85714285714283,3496.79
Uruguay,2022-01-24,11399.857142857143,3330.569
Uzbekistan,2022-01-23,1277.2857142857142,36.886
Vanuatu,2022-04-04,261.85714285714283,801.414
Vatican,2020-10-16,2.0,2475.248
Venezuela,2022-01-26,2106.8571428571427,74.443
Vietnam,2022-03-18,274025.28571428574,2790.855
Wales,2020-04-01,0.0,
Wallis and Futuna,2022-10-14,379.14285714285717,32696.004
Western Sahara,2022-04-20,0.0,
Yemen,2021-04-06,109.42857142857143,3.247
Zambia,2022-01-05,3870.8571428571427,193.372
Zimbabwe,2021-12-15,4579.714285714285,280.61
