location,total_cases,total_deaths,population,cases_per_million,deaths_per_million,case_fatality_rate
Kosovo,274247.0,3211.0,1782115.0,153888.49765587517,1801.791691333051,1.1708423428515171
Kuwait,666432.0,2570.0,4268886.0,156113.7964330741,602.030600020708,0.3856357437818112
Kyrgyzstan,88889.0,1024.0,6630621.0,13405.833329939986,154.43500691715,1.1519985600018001
Laos,218876.0,671.0,7529477.0,29069.216892488017,89.11641538980729,0.30656627496847527
Latvia,976316.0,7384.0,1850654.0,527551.8816591323,3989.9408533415753,0.7563125053773574
Lebanon,1239904.0,10947.0,5489744.0,225858.2549568796,1994.0820555566888,0.8828909334916252
Lesotho,35836.0,709.0,2305826.0,15541.502264264518,307.4820042795944,1.9784574171224467
Liberia,8090.0,294.0,5302690.0,1525.6407596898932,55.443557892315035,3.634116192830655
Libya,507269.0,6437.0,6812344.0,74463.20972634382,944.902371342375,1.2689519761704342
Liechtenstein,21497.0,87.0,39355.0,546233.0072417737,2210.6466776775505,0.40470763362329626
Lithuania,1333228.0,9718.0,2750058.0,484799.95694636257,3533.743651952068,0.7289075836991122
Luxembourg,384378.0,1000.0,647601.0,593541.3935432466,1544.1606791836332,0.2601605711044857
Madagascar,68350.0,1425.0,29611718.0,2308.207852040196,48.122841099594424,2.0848573518653986
Malawi,88986.0,2686.0,20405318.0,4360.921991022144,131.63235191923988,3.0184523408176567
Malaysia,5130847.0,37195.0,33938216.0,151181.98905917743,1095.9621448575847,0.7249290419301141
Maldives,186694.0,316.0,523798.0,356423.65950232727,603.2859995647177,0.16926092964958703
Mali,33158.0,743.0,22593598.0,1467.583870439759,32.88542179072142,2.2407865371855964
Malta,120422.0,882.0,533293.0,225808.3267547108,1653.875074302494,0.732424307850725
Marshall Islands,16138.0,17.0,41593.0,387997.9804293992,408.72262159497996,0.10534143016482836
Martinique,230354.0,1104.0,367512.0,626793.138727443,3003.9835433945013,0.4792623527266729
Mauritania,63774.0,997.0,4736146.0,13465.378812224117,210.50871320267578,1.5633330197259072
Mauritius,309917.0,1054.0,1299478.0,238493.4566033438,811.0949165741937,0.3400910566377449
Mayotte,42027.0,187.0,326113.0,128872.50738241037,573.4208694532264,0.44495205463154636
Mexico,7692397.0,334699.0,127504120.0,60330.57598452505,2625.005372375418,4.351036484466415
Micronesia (country),26547.0,65.0,114178.0,232505.38632661282,569.2865525758027,0.24484875880513807
Moldova,625153.0,12128.0,3272993.0,191003.46380209184,3705.4769136383734,1.9400050867547627
Monaco,17049.0,67.0,36491.0,467211.09314625524,1836.0691677399907,0.39298492580209987
Mongolia,1011170.0,2284.0,3398373.0,297545.32536599133,672.0863189532167,0.22587695441913824
Montenegro,251280.0,2654.0,627082.0,400713.1443734631,4232.301357717172,1.0561922954473097
Montserrat,1403.0,8.0,4413.0,317924.31452526624,1812.8257421255382,0.5702066999287242
Morocco,1277082.0,16297.0,37457976.0,34093.72679399442,435.0742282498125,1.276112262172672
Mozambique,233654.0,2249.0,32969520.0,7086.970025647932,68.21452056323538,0.962534345656398
Myanmar,641324.0,19494.0,54179312.0,11837.06430233001,359.8052334071721,3.039649225664407
Namibia,172121.0,4100.0,2567024.0,67050.79500620173,1597.1802367254843,2.382045189140198
Nauru,5393.0,1.0,12691.0,424946.81270191475,78.79599716334411,0.018542555164101613
Nepal,1003447.0,12031.0,30547586.0,32848.65128131565,393.84454143119524,1.1989671601987948
Netherlands,8618815.0,22986.0,17564020.0,490708.5621628762,1308.6981226393502,0.26669559562422446
New Caledonia,80064.0,314.0,289959.0,276121.79652985424,1082.9117220020762,0.3921862509992006
New Zealand,2390777.0,3376.0,5185289.0,461069.19016471406,651.0726788805792,0.14120932232491779
Nicaragua,16050.0,245.0,6948395.0,2309.885952079581,35.25994132457927,1.5264797507788161
Niger,9515.0,315.0,26207982.0,363.05733115964443,12.019239024202626,3.310562270099842
Nigeria,267146.0,3155.0,218541216.0,1222.4055713133764,14.436636062279437,1.1810021486378235
Niue,887.0,0.0,1952.0,454405.737704918,0.0,0.0
North Macedonia,349104.0,9946.0,2093606.0,166747.7070661815,4750.655089830655,2.8490077455428757
Northern Mariana Islands,14299.0,41.0,49574.0,288437.48739258485,827.0464356315811,0.28673333799566403
Norway,1489459.0,5732.0,5434324.0,274083.58426917496,1054.7770063028997,0.38483771624462304
Oman,399449.0,4628.0,4576300.0,87286.4541223259,1011.2973362760308,1.1585959659430867
Pakistan,1580631.0,30656.0,235824864.0,6702.562966388481,129.99477442717827,1.9394786006348097
Palau,6243.0,9.0,18084.0,345222.295952223,497.6775049767751,0.14416146083613646
Palestine,703228.0,5708.0,5250076.0,133946.25144474098,1087.222356400174,0.8116855415313383
Panama,1047587.0,8654.0,4408582.0,237624.47880066652,1962.9894601030442,0.8260889071742968
